출발_동,도착_동,label,score
갈현동,우장산동,,0.770891102
갈현동,운서동,,0.981967956
갈현동,월계동,,0.683746603
갈현동,월곡동,,0.879311456
갈현동,위례동,0,0.0952247654
갈현동,은천동,0,0.0953812964
갈현동,을지로동,1,1
갈현동,응봉동,,0.130480927
갈현동,응암동,1,1
갈현동,이문동,,0.8614534
갈현동,이태원동,,0.999787317
갈현동,이화동,,0.999949048
갈현동,인헌동,,0.719891739
갈현동,일원동,,0.6869979
갈현동,자양동,,0.204243767
갈현동,잠실동,1,1
갈현동,잠원동,,0.787241345
갈현동,장위동,,0.530730322
갈현동,장지동,,0.363492996
갈현동,장충동,,0.999999092
갈현동,전농동,,0.999994397
갈현동,정릉동,,0.171859564
갈현동,제기동,,0.468729951
갈현동,종로동,1,1
갈현동,중계동,,0.199807183
갈현동,중곡동,,0.263638187
갈현동,중앙동,0,0.0953030021
갈현동,중화동,,0.261724845
갈현동,증산동,1,1
갈현동,진관동,1,1
갈현동,창동,,0.992943205
갈현동,창신동,,0.276381547
갈현동,천연동,,1
갈현동,천호동,,0.202803337
갈현동,청룡동,,0.9998068
갈현동,충현동,,0.999772727
갈현동,필동,1,1
갈현동,하계동,,0.287241067
갈현동,한강로동,1,1
갈현동,한남동,,0.999939747
갈현동,합정동,0,0.0952471128
갈현동,행당동,,0.996437473
갈현동,행운동,0,0.0956277387
갈현동,홍은동,,0.787057139
갈현동,홍제동,1,1
갈현동,화곡동,,0.993729934
갈현동,화양동,,0.998982802
갈현동,회현동,1,1
갈현동,효창동,,0.999999934
갈현동,휘경동,,0.975119733
갈현동,흑석동,,0.264205208
강일동,가락동,,0.116947554
강일동,강일동,1,1
강일동,개포동,0,0.0970160915
강일동,거여동,0,0.0968231394
강일동,고덕동,1,1
강일동,광장동,,0.325975107
강일동,광희동,0,0.0960097244
강일동,구의동,,0.510697721
강일동,군자동,0,0.0951689171
강일동,길동,,0.999999384
강일동,논현동,0,0.103928365
강일동,능동,0,0.0952582883
강일동,답십리동,,0.131328993
강일동,대치동,1,0.147803803
강일동,도곡동,0,0.0953030021
강일동,돈암동,,0.095157751
강일동,동선동,0,0.095269465
강일동,둔촌동,1,1
강일동,마천동,0,0.0973574325
강일동,망우동,0,0.100818397
강일동,면목동,,0.13115157
강일동,명동,0,0.095908478
강일동,명일동,1,1
강일동,문정동,0,0.0952135933
강일동,방이동,,0.2240583
강일동,사직동,0,0.107209691
강일동,삼선동,0,0.0952359384
강일동,삼성동,,0.257314224
강일동,삼전동,,0.11424318
강일동,상봉동,0,0.105239875
강일동,상일동,,0.999997617
강일동,서초동,,0.11500648
강일동,석촌동,,0.172235687
강일동,성내동,,0.579525228
강일동,소공동,0,0.09599847
강일동,송파동,1,0.151000721
강일동,수서동,0,0.104473063
강일동,숭인동,,0.180082391
강일동,신내동,,0.110543578
강일동,암사동,1,1
강일동,압구정동,0,0.10635626
강일동,양재동,,0.0990686775
강일동,역삼동,,0.165251684
강일동,오금동,0,0.0951689171
강일동,오륜동,,0.182914206
강일동,용답동,,0.145096807
강일동,용산동,0,0.0951912529
강일동,용신동,,0.401643273
강일동,을지로동,0,0.0958297968
강일동,이태원동,0,0.0959197228
강일동,이화동,0,0.0952024225
강일동,일원동,0,0.10336214
강일동,잠실동,,0.95986311
강일동,장안동,,0.243133413
강일동,정릉동,0,0.0953812964
강일동,종로동,,0.560840699
강일동,중곡동,,0.529597539
강일동,중림동,,0.0996605285
강일동,창신동,,0.175363903
강일동,천호동,,0.999999999
강일동,청담동,0,0.0971752509
강일동,충현동,0,0.107147647
강일동,풍납동,,0.925898731
강일동,한남동,0,0.0959422162
강일동,혜화동,0,0.0951912529
강일동,회현동,0,0.0961223323
개봉동,가락동,,0.406487963
개봉동,가리봉동,,0.26555145
개봉동,가산동,1,1
개봉동,가양동,,0.969122786
개봉동,갈현동,,0.440292805
개봉동,개봉동,1,1
개봉동,개포동,1,0.13775391
개봉동,거여동,1,0.136929281
개봉동,고척동,1,1
개봉동,공덕동,,0.995827409
개봉동,공릉동,,0.219880101
개봉동,공항동,,0.870969101
개봉동,광장동,,0.172884526
개봉동,광희동,,0.868552359
개봉동,구로동,1,1
개봉동,구의동,,0.826483603
개봉동,금호동,,0.228053713
개봉동,길동,,0.11665803
개봉동,길음동,,0.297937351
개봉동,낙성대동,,0.590888131
개봉동,남가좌동,,0.108670384
개봉동,남영동,,0.99526123
개봉동,남현동,,0.99935074
개봉동,내곡동,0,0.10523941
개봉동,노량진동,,0.999999349
개봉동,녹번동,,0.227145896
개봉동,논현동,,0.997414455
개봉동,능동,,0.308543453
개봉동,당산동,,1
개봉동,대림동,,0.998764479
개봉동,대방동,,0.413625668
개봉동,대조동,,0.27324941
개봉동,대치동,,0.99999998
개봉동,대학동,,0.110378338
개봉동,대흥동,,0.955008395
개봉동,도곡동,,0.461915112
개봉동,도림동,,0.266412246
개봉동,도봉동,,0.274189173
개봉동,도화동,,0.497212983
개봉동,독산동,1,0.999999999
개봉동,돈암동,0,0.0980089333
개봉동,동선동,0,0.102810607
개봉동,동화동,,0.171667921
개봉동,둔촌동,,0.594992499
개봉동,등촌동,,0.948544545
개봉동,마장동,,0.11536861
개봉동,마천동,,0.12341542
