     순위     출발_동     도착_동      score
    489      신림동      시흥동   1.000000
    489      신촌동      삼선동   1.000000
    489      오륜동      방이동   1.000000
    489      용답동      장안동   1.000000
    489      우이동      인수동   1.000000
    489      월곡동       번동   1.000000
    489      장지동      역삼동   1.000000
    489      종로동      삼청동   1.000000
    489      종암동      용신동   1.000000
    489      홍제동      부암동   1.000000
    509      상봉동      중계동   1.000000
    509     영등포동      충현동   1.000000
    511     낙성대동      청림동   1.000000
    511     답십리동      용답동   1.000000
    511      면목동      용답동   1.000000
    511      서교동      홍은동   1.000000
    515     가리봉동      가산동   1.000000
    515     낙성대동      성현동   1.000000
    515      응봉동      금호동   1.000000
    518      고척동      화곡동   1.000000
    518     보라매동     보라매동   1.000000
    518      삼성동       명동   1.000000
    518      상암동      화곡동   1.000000
    518      청담동      신사동   1.000000
    523      명일동      강일동   1.000000
    524      부암동      홍제동   1.000000
    524     영등포동      서초동   1.000000
    526      돈암동      종암동   1.000000
    526      숭인동      서교동   1.000000
    526      이촌동     서빙고동   1.000000
    526      종로동      돈암동   1.000000
    530      광희동       필동   1.000000
    530     낙성대동      남현동   1.000000
    530      보문동      숭인동   1.000000
    530      보문동      월곡동   1.000000
    530      신사동       목동   1.000000
    530     한강로동     영등포동   1.000000
    530      한남동      공덕동   1.000000
    530      화양동      장안동   1.000000
    538       목동      대흥동   1.000000
    538      오금동      송파동   1.000000
    538      충현동     영등포동   1.000000
    541      청림동      중앙동   1.000000
    542      반포동      개포동   1.000000
    543      서교동      용산동   1.000000
    543      소공동      대흥동   1.000000
    543      신사동      사당동   1.000000
    546      서교동      전농동   1.000000
    546      용신동      서교동   1.000000
    546      월곡동      상계동   1.000000
    549      길음동      광희동   1.000000
    549      역삼동      신길동   1.000000
    551      방배동      양재동   1.000000
    552      신촌동      반포동   1.000000
    552     영등포동      역삼동   1.000000
    554      금호동      논현동   1.000000
    554      월곡동      보문동   1.000000
    556      논현동       창동   1.000000
    556      대흥동      공덕동   1.000000
    556      서교동     우장산동   1.000000
    559      소공동      신당동   1.000000
    560      가양동     영등포동   1.000000
    560     한강로동      갈현동   1.000000
    562      부암동    청운효자동   1.000000
    562     영등포동      방화동   1.000000
    564      방이동      송파동   1.000000
    565      잠원동     압구정동   1.000000
    565      정릉동      월곡동   1.000000
    565       필동      반포동   1.000000
    568     한강로동      효창동   1.000000
    569      문래동       목동   1.000000
    569      석촌동      서초동   1.000000
    569      소공동      이문동   1.000000
    569       필동      광희동   1.000000
    573      문정동      구의동   1.000000
    573      서교동      숭인동   1.000000
    575      문래동     여의도동   1.000000
    575      증산동      증산동   1.000000
    577      상계동      월곡동   1.000000
    578      중화동      삼성동   1.000000
    579      문정동      삼성동   1.000000
    580      도곡동      문정동   1.000000
    581      가산동      서초동   1.000000
    582      서교동      진관동   1.000000
    582      아현동      회현동   1.000000
    584      삼성동      종로동   1.000000
    585      대치동      소공동   1.000000
    585      마장동      용답동   1.000000
    585      서림동      청룡동   1.000000
    588      문정동      도곡동   1.000000
    588      용답동      면목동   1.000000
    590       명동      역삼동   1.000000
    591      삼성동      하계동   1.000000
    592      면목동      자양동   1.000000
    592      약수동      신당동   1.000000
    594      가양동      양평동   1.000000
    595      등촌동      종로동   1.000000
    595     여의도동      광희동   1.000000
    597      갈현동      천연동   1.000000
    598      제기동      공릉동   1.000000
    599      용신동      사근동   1.000000
    600     한강로동      신정동   1.000000
    601       필동      길음동   1.000000
    602      가락동      개포동   1.000000
    602     신대방동      청룡동   1.000000
    604      방화동      구로동   1.000000
    604      일원동      도곡동   1.000000
    606      삼성동      대방동   1.000000
    607     영등포동     한강로동   1.000000
    608      구로동      충현동   1.000000
    609      개봉동      소공동   1.000000
    610      화양동      용신동   1.000000
    611      용답동      가락동   1.000000
    612      행당동      전농동   1.000000
    613      이문동      휘경동   1.000000
    614      논현동      개포동   1.000000
    615       묵동      하계동   1.000000
    616      서교동       능동   1.000000
    617      서원동     보라매동   1.000000
    617      종로동      망우동   1.000000
    619      회현동      월계동   1.000000
    620      도봉동      용신동   1.000000
    621      신사동      독산동   1.000000
    621      이화동      미아동   1.000000
    623      사직동     한강로동   1.000000
    624      안암동      서교동   1.000000
    625      휘경동      성수동   1.000000
    626      남영동      이화동   1.000000
    627     을지로동      서원동   1.000000
    628      중곡동      상계동   1.000000
    629      신길동      삼성동   1.000000
    630      반포동      하계동   1.000000
    631      논현동      당산동   1.000000
    632      신촌동      대림동   1.000000
    632      암사동      석촌동   1.000000
    634      대치동      홍제동   1.000000
    635      삼성동      신사동   1.000000
    635      수유동      용신동   1.000000
    637      회현동      운서동   1.000000
    638      중화동      화양동   1.000000
    639      상암동      구로동   1.000000
    639      잠실동      휘경동   1.000000
    641      용산동      서교동   1.000000
    642      양재동      서교동   1.000000
    643      상계동      중곡동   1.000000
    644      광장동      사직동   1.000000
    645     노량진동     신도림동   1.000000
    646      중계동      상봉동   1.000000
    647      월계동      소공동   1.000000
    648      개포동      가락동   1.000000
    648      용신동      도봉동   1.000000
    650      전농동      도봉동   1.000000
    651     압구정동      녹번동   1.000000
    652      약수동      논현동   1.000000
    653      회현동      인헌동   1.000000
    654      개봉동      서초동   1.000000
    655      서원동     을지로동   1.000000
    656      대림동     여의도동   1.000000
    657      충현동      상계동   1.000000
    658       번동      대치동   1.000000
    659       창동      남영동   1.000000
    660      이화동      사당동   1.000000
    661     남가좌동      회현동   1.000000
    662      상암동      대흥동   1.000000
    663      반포동      신촌동   1.000000
    664      행당동      충현동   1.000000
    665      중곡동      잠실동   1.000000
    666      대치동      장지동   1.000000
    667      화양동      남현동   1.000000
    668      상암동      종로동   1.000000
    669      회현동      녹번동   1.000000
    670      전농동      용답동   1.000000
    671       목동      문래동   1.000000
    672      대치동      상도동   1.000000
    673      신사동      삼성동   1.000000
    674      서강동      한남동   1.000000
    675       능동     여의도동   1.000000
    676      오류동      회현동   1.000000
    676      화곡동      잠실동   1.000000
    678      사직동      가락동   1.000000
    679      광희동     여의도동   1.000000
    680      대흥동      구로동   1.000000
    681      삼선동     압구정동   1.000000
    682      석관동       번동   1.000000
    683      오륜동      송파동   1.000000
    684      등촌동      잠실동   1.000000
    684      용신동      대치동   1.000000
    686      미아동      이화동   1.000000
    686      정릉동      소공동   1.000000
    688      종로동      제기동   1.000000
    689      진관동      서교동   1.000000
    690      서원동      사당동   1.000000
    691      서초동      신당동   1.000000
    692      행당동      신촌동   1.000000
    693      종로동      우이동   1.000000
    694      반포동      인헌동   1.000000
    695      구의동      충현동   1.000000
    696      홍제동       필동   1.000000
    697      상계동      남현동   1.000000
    698      금호동      약수동   1.000000
    699      갈현동      방화동   1.000000
    699      충현동      행당동   1.000000
    701      인헌동      당산동   1.000000
    702     한강로동      공릉동   1.000000
    703      용신동      우이동   1.000000
    704     압구정동     여의도동   1.000000
    705      소공동      충현동   1.000000
    706      사근동      서초동   1.000000
    706      홍제동      양재동   1.000000
    708      가양동      사직동   1.000000
    709      갈현동      대흥동   1.000000
    709      상암동      신촌동   1.000000
    711      송파동      방이동   1.000000
    712      대림동      신촌동   1.000000
    712      신당동      대치동   1.000000
    712     여의도동      상암동   1.000000
    715     왕십리동      구의동   1.000000
    716      방화동      운서동   1.000000
    717      화곡동      광희동   1.000000
    718      잠실동      화곡동   1.000000
    719      남현동      신촌동   1.000000
    720      구로동      삼성동   1.000000
    721      남영동       필동   1.000000
    722      상계동      신내동   1.000000
    723      개포동      반포동   1.000000
    724      삼선동      남영동   1.000000
    725      논현동      인헌동   1.000000
    726      남현동      상도동   1.000000
    727      신촌동     한강로동   1.000000
    728      등촌동     영등포동   1.000000
    729      삼양동      용신동   1.000000
    730      공릉동      사직동   1.000000
    731      대치동       번동   1.000000
    732      하계동      반포동   1.000000
    733      삼성동      화곡동   1.000000
    734      용답동      역삼동   1.000000
    735      사당동      신사동   1.000000
    736      신내동      상계동   1.000000
    736      중계동       능동   1.000000
    738      구의동      석촌동   1.000000
    739      양재동      상계동   1.000000
    740       능동      양재동   1.000000
    741      길음동      대치동   1.000000
    742      광희동      화곡동   1.000000
    743      신정동      충현동   1.000000
    744      성수동      이화동   1.000000
    745      도곡동      서원동   1.000000
    746      반포동       필동   1.000000
    747     여의도동       능동   1.000000
    747      화양동      사당동   1.000000
    749      면목동      양재동   1.000000
    750      광희동      대치동   1.000000
    751      서원동       목동   1.000000
    752      천연동      갈현동   1.000000
