출발_동,도착_동,지하철_승객수,버스_승객수,택시_승객수,클러스터,label,score
공덕동,오금동,10176,0,22949.15275,26,,0.5080917903538059
공덕동,오류동,14663,1018,23020.52105,18,,0.763471333370905
공덕동,오륜동,19406,0,23044.58927,15,,0.8913589122164218
공덕동,옥수동,14906,2429,23057.64823,17,,0.8036616427509816
공덕동,왕십리동,14310,3287,23072.53412,17,,0.800078844969789
공덕동,용강동,60903,62009,24994.86323,2,,0.9999999964728479
공덕동,용답동,93709,0,23812.86879,68,,0.999999993069062
공덕동,용문동,0,51619,24110.25018,21,,0.9883581440709798
공덕동,용산동,61863,14384,23836.4547,2,,0.9999986324004912
공덕동,용신동,32014,31381,23944.79125,0,,0.9998772020711296
공덕동,우이동,14408,0,22992.91086,19,,0.7276123630785691
공덕동,우장산동,71780,1224,23616.15404,16,,0.9999991869540075
공덕동,운서동,54331,0,23405.70742,6,,0.9999520876041779
공덕동,원효로동,0,47667,24013.29986,21,,0.9807150149841546
공덕동,월계동,7837,484,22936.84139,30,,0.3941213957670463
공덕동,월곡동,62822,215,23498.77719,10,,0.9999930750687782
공덕동,을지로동,102761,17102,24326.01046,68,,0.9999999999011451
공덕동,응봉동,3842,478,22895.38662,40,,0.2095302032201814
공덕동,응암동,0,3661,22933.74628,49,,0.14459886391906704
공덕동,이문동,16470,925,23036.92363,17,,0.8271347740641661
공덕동,이태원동,101431,12236,24192.88597,68,,0.9999999997495463
공덕동,이화동,34440,19821,23686.28615,0,,0.999681149750796
공덕동,인헌동,24006,0,23092.15244,12,,0.958413089824607
공덕동,일원동,10720,0,22954.77761,25,,0.5385506700760434
공덕동,자양동,5307,0,22898.80818,36,,0.25715238909286914
공덕동,잠실동,116753,0,24051.13956,70,1.0,0.9999999999607523
공덕동,잠원동,5659,0,22902.44779,35,,0.2725366103687805
공덕동,장안동,0,46,22845.06323,63,0.0,0.09566138863008168
공덕동,장위동,41509,545,23286.5002,2,,0.9992062563011046
공덕동,장지동,8297,0,22929.72423,30,,0.4038365395828603
공덕동,장충동,12611,0,22974.33021,22,1.0,0.6408552891433821
공덕동,전농동,32726,9605,23417.94516,1,,0.9982403199170228
공덕동,정릉동,19778,1498,23085.18457,14,,0.9154811556530257
공덕동,제기동,44816,863,23328.49514,2,,0.9996373405585035
공덕동,종로동,220736,221063,30549.4143,75,1.0,1.0
공덕동,종암동,0,714,22861.45058,57,0.0,0.10342224665425964
공덕동,중계동,21710,0,23068.41221,13,,0.9322637033241795
공덕동,중곡동,9828,0,22945.55449,27,,0.4885611787706341
공덕동,중림동,0,49181,24050.44125,21,,0.9840980836332157
공덕동,중화동,14102,0,22989.74688,19,,0.7137850711574594
공덕동,증산동,90587,1664,23821.40906,67,,0.9999999887410101
공덕동,진관동,47026,0,23330.17505,3,,0.9997530218144604
공덕동,창동,66101,5858,23671.11533,9,,0.999998404538954
공덕동,창신동,13863,13831,23326.57725,13,,0.9342411140118161
공덕동,천연동,4727,0,22892.81108,38,,0.23307224111721878
공덕동,천호동,11195,0,22959.68903,24,,0.5649206226858237
공덕동,청구동,0,161,22847.88441,61,0.0,0.09695930525956765
공덕동,청룡동,53372,0,23395.79154,6,,0.999940577184802
공덕동,청운효자동,0,585,22858.28596,58,0.0,0.1018813531896798
공덕동,청파동,0,240689,28748.50851,73,1.0,0.9999999999997351
공덕동,충현동,229527,293712,32422.53426,76,1.0,1.0
공덕동,평창동,0,1117,22871.33696,55,,0.10836949918982688
공덕동,필동,23121,27033,23746.17427,1,,0.9984130425293084
공덕동,하계동,25714,0,23109.81285,11,,0.9712787169017713
공덕동,한강로동,334147,9510,26532.25297,76,1.0,1.0
공덕동,한남동,145313,33573,25170.05637,71,,0.9999999999999991
공덕동,합정동,0,15,22844.30274,64,0.0,0.09531418345639912
공덕동,행당동,75507,1365,23658.14954,19,,0.9999996542505186
공덕동,혜화동,0,6179,22995.51776,44,,0.18983531520690577
공덕동,홍은동,0,17154,23264.75606,32,,0.4930313254175773
공덕동,홍제동,24417,3833,23190.43312,9,,0.97649652939477
공덕동,화곡동,260172,4082,25634.20542,75,1.0,1.0
공덕동,화양동,31473,0,23169.35986,8,,0.9919499205308713
공덕동,황학동,0,1745,22886.74304,53,,0.11649299956531223
공덕동,회현동,192305,414000,34988.56636,76,1.0,1.0
공덕동,효창동,75689,380617,32963.82759,76,1.0,1.0
공덕동,휘경동,21983,6469,23229.93226,10,,0.9713119681633707
공덕동,흑석동,18048,0,23030.5478,16,,0.8581243642706085
공릉동,가락동,43656,27,23295.99223,3,,0.9994756514963542
공릉동,가리봉동,0,68,22845.60293,62,0.0,0.0959084780272583
공릉동,가산동,54328,0,23405.6764,6,,0.9999520553228609
공릉동,가양동,14952,0,22998.53572,19,,0.751136267623722
공릉동,갈현동,26194,0,23114.77596,11,,0.9741371633868112
공릉동,개봉동,4243,88,22889.96542,39,,0.21614057670724818
공릉동,개포동,18209,0,23032.21251,16,,0.8624685450421118
공릉동,거여동,15662,0,23005.87699,18,,0.7797296161358018
